	DBA_A	DBA_B	DBA_C	Control_A	Control_B	Control_C	Control_D	Control_E	Control_F
APOC1	2.24900063740488	2.30538356509547	2.29341890088768	2.66941291521448	2.76948318234328	2.97945878122235	2.4623815606877	2.19280641083623	2.63125492770327
APOC3	0.813282554350456	0.817040689672684	0.838727178165839	0.856533758476692	0.790959402273013	0.835104026739075	0.849810029460542	0.840923827192851	0.811352719452871
APOD	1.00629069804211	0.939838458749543	0.92752363796996	0.92947750613332	0.985586669223523	0.945046082066716	0.969102972623446	0.971577777827242	0.977957496525928
APOE	1.55391845540189	1.23821435491574	1.32080960796669	1.20422908339715	1.36754259126181	1.44723167810618	1.33997837461111	1.33667765058999	1.35509165746578
APOF	0.828074941176189	0.806290301237888	0.80883990379133	0.8654400780207	0.807537243497026	0.812165129418878	0.84643876457506	0.851002435948655	0.805464626448565
APOH	1.14163613036368	1.04409660415547	1.07080013221268	1.06150626627789	1.10282455355542	1.04294500800119	1.08516611672876	1.06470879675078	1.1641042646901
APOL2	1.35581174788203	1.29334853305546	1.26812177800665	1.36283683935977	1.31907653488709	1.35783462199277	1.26259878099692	1.23675872155006	1.25506956997473
APOL3	1.76474562334429	1.938140673499	1.68613874393533	1.71681983854062	1.64991330270482	1.64589472535091	1.74134544287827	1.58030646196204	1.48967489318354
APOL5	1.04924684043652	1.09520078651656	1.0677435971138	1.00973678475574	1.03736036290743	1.01153820006012	0.99081738434648	1.18411320643365	1.05444165472134
APOL6	1.14347344759216	1.29054620080361	1.18843567814142	1.10925134480986	1.19131704900492	1.094212042645	1.12301996973757	1.15413853661998	1.13403782761497
APOLD1	1.13065926032381	1.26788350777001	1.26286577009786	1.2060376682931	1.18983626192628	1.15383974960992	1.27764491361175	1.39078719029702	1.30090314809408
APOM	1.33775340814459	1.28457388690951	1.27198967890139	1.53631853801745	1.51900292837694	1.51398338094334	1.38071376961449	1.27537698503475	1.30284592765812
APOO	2.05233077737559	2.13589389513382	2.2132029096208	2.63086263328873	2.55196686222606	2.71703849243335	2.15181501466244	2.16253045769775	2.10791504975256
APOOL	1.95972945537486	1.97978969021164	2.1141204423232	1.76915778305739	1.70581237241626	1.60529558589403	1.93997462830505	1.73184736581187	1.96421548989502
APP	2.01389378902047	2.28140303072016	2.68645198155058	2.02212605951308	2.48658230276582	2.45566491400728	2.10565489578176	2.72708204437304	2.08358058470131
APPBP2	2.11890948935029	1.82000360884013	2.43957333320648	1.86929419892423	1.96046807078581	2.02298253769931	2.08354795984604	1.97308029760602	2.30531800664025
APPL1	1.27834033007515	1.244125835369	1.41202328648045	1.18700193123212	1.4143148440927	1.31655599975975	1.32532641227396	1.36689239337293	1.26159753717429
APPL2	0.998122987592174	0.965898454757361	1.03034035992143	1.09628941106388	0.931523788919943	0.913947416322524	0.974287704636382	0.902235953865441	0.963820839413552
APRT	2.4783787338445	2.31296293606191	2.14820412029178	2.58583710142188	2.90074600438067	3.10591627485015	2.53935175716438	2.60806641553731	2.39754493840904
APTX	1.8841759616273	1.86022418580106	1.90646701314287	1.85784304914411	1.62913068716786	1.63446125688078	1.84972018187041	1.47017731117471	1.97089072315162
